Country,Yes,No,Not Sure,Total,Yes Percentage
 Australia,524,359,134,1017,51.52409046
 East Timor,1,0,0,1,100
 Brazil,550,294,102,946,58.13953488
 Canada,957,573,272,1802,53.10765816
 Uzbekistan,4,8,6,18,22.22222222
 Burkina,0,1,0,1,0
 Barbados,1,0,1,2,50
 Japan,70,50,24,144,48.61111111
 San Marino,0,1,0,1,0
 Yemen,1,1,0,2,50
 Cyprus,18,6,3,27,66.66666667
 Finland,157,150,73,380,41.31578947
 Peru,30,12,4,46,65.2173913
 Antarctica,0,0,1,1,0
 Singapore,93,49,20,162,57.40740741
 Benin,1,0,1,2,50
 Djibouti,0,2,0,2,0
 Montenegro,1,1,0,2,50
 Uruguay,18,17,6,41,43.90243902
 Bosnia Herzegovina,26,15,3,44,59.09090909
 Moldova,13,8,2,23,56.52173913
 Colombia,53,26,6,85,62.35294118
 Sweden,588,464,127,1179,49.87277354
 Vietnam,84,28,5,117,71.79487179
 Dominica,1,0,0,1,100
 Serbia,91,46,15,152,59.86842105
 Iran,163,110,29,302,53.97350993
 Slovakia,61,29,16,106,57.54716981
 Russian Federation,589,518,104,1211,48.63748968
 Angola,3,0,2,5,60
 Cameroon,2,4,0,6,33.33333333
 Luxembourg,17,6,2,25,68
 Denmark,271,196,70,537,50.46554935
 Turkey,216,126,35,377,57.29442971
 Taiwan,43,12,0,55,78.18181818
 Panama,6,4,2,12,50
 Madagascar,2,3,0,5,40
 Saudi Arabia,11,14,1,26,42.30769231
 Chad,0,0,1,1,0
 Hungary,107,61,30,198,54.04040404
 Portugal,245,132,40,417,58.7529976
 Other  please specify,10,9,7,26,38.46153846
 United Kingdom,2134,1359,615,4108,51.94741967
 Paraguay,12,2,1,15,80
 Bolivia,6,5,3,14,42.85714286
 Tanzania,2,4,0,6,33.33333333
 Jamaica,6,3,2,11,54.54545455
 Mozambique,1,0,0,1,100
 Georgia,19,11,4,34,55.88235294
 Suriname,2,0,0,2,100
 Honduras,4,4,0,8,50
 Dominican Republic,32,33,10,75,42.66666667
 Kyrgyzstan,8,2,0,10,80
 Iceland,12,7,2,21,57.14285714
 Netherlands,503,402,156,1061,47.40810556
 Morocco,15,26,6,47,31.91489362
 Zambia,0,0,2,2,0
 Belarus,72,65,9,146,49.31506849
 Cambodia,8,4,0,12,66.66666667
 Nepal,29,30,2,61,47.54098361
 Mongolia,6,6,1,13,46.15384615
 Kazakhstan,23,9,3,35,65.71428571
 Kenya,21,26,4,51,41.17647059
 Fiji,1,1,2,4,25
 Bhutan,1,0,0,1,100
 Syria,4,6,2,12,33.33333333
 Indonesia,72,57,12,141,51.06382979
 Uganda,4,8,0,12,33.33333333
 Somalia,0,0,1,1,0
 Norway,128,141,49,318,40.25157233
 Albania,8,10,5,23,34.7826087
 Bermuda,1,0,1,2,50
 Puerto Rico,1,1,1,3,33.33333333
 Micronesia,1,0,1,2,50
 Poland,790,675,167,1632,48.40686275
 Tajikistan,1,0,0,1,100
 Jordan,11,18,8,37,29.72972973
 Afghanistan,15,8,4,27,55.55555556
 Israel,180,149,56,385,46.75324675
Togo,1,0,0,1,100
Pakistan,108,158,26,292,36.98630137
Guinea,0,0,1,1,0
Ethiopia,4,6,1,11,36.36363636
Chile,56,34,7,97,57.73195876
Niger,0,1,0,1,0
Belgium,235,177,59,471,49.89384289
Mexico,251,119,31,401,62.59351621
Zimbabwe,5,3,1,9,55.55555556
Guyana,1,0,1,2,50
France,662,500,210,1372,48.25072886
China,161,69,16,246,65.44715447
Nicaragua,3,3,0,6,50
Algeria,8,14,6,28,28.57142857
Myanmar,0,0,19,19,0
Trinidad & Tobago,7,4,0,11,63.63636364
Sri Lanka,75,26,9,110,68.18181818
Germany,1894,1140,365,3399,55.72227126
United Arab Emirates,19,32,5,56,33.92857143
Costa Rica,19,6,2,27,70.37037037
Bulgaria,137,41,33,211,64.92890995
Macedonia,28,3,3,34,82.35294118
Mauritius,6,1,1,8,75
Ivory Coast,0,2,1,3,0
Cuba,6,14,3,23,26.08695652
Oman,1,0,0,1,100
Kosovo,5,5,3,13,38.46153846
New Zealand,179,107,34,320,55.9375
Sierra Leone,0,1,0,1,0
El Salvador,6,2,1,9,66.66666667
Palestine,3,5,0,8,37.5
Bangladesh,66,72,10,148,44.59459459
Ireland {Republic},203,120,58,381,53.2808399
Haiti,3,0,0,3,100
Ghana,15,8,2,25,60
Korea North,2,1,1,4,50
Philippines,109,47,13,169,64.49704142
Bahrain,5,4,1,10,50
Venezuela,25,13,4,42,59.52380952
St Kitts & Nevis,0,1,0,1,0
Austria,252,118,48,418,60.28708134
India,2051,1351,167,3569,57.46707761
Lebanon,16,17,2,35,45.71428571
Argentina,174,109,32,315,55.23809524
Sudan,1,5,1,7,14.28571429
Iraq,1,5,1,7,14.28571429
Botswana,3,1,0,4,75
Lithuania,78,54,10,142,54.92957746
Estonia,30,38,9,77,38.96103896
Laos,0,2,0,2,0
Maldives,1,2,1,4,25
Greece,196,116,44,356,55.05617978
Mauritania,1,0,0,1,100
Slovenia,88,53,12,153,57.51633987
Belize,0,2,0,2,0
Malawi,1,1,0,2,50
Switzerland,252,200,57,509,49.50884086
Spain,428,373,120,921,46.47122693
Kuwait,2,1,1,4,50
Liechtenstein,3,0,0,3,100
Italy,493,347,165,1005,49.05472637
Ecuador,11,5,1,17,64.70588235
Namibia,1,0,0,1,100
Tunisia,11,29,4,44,25
Qatar,5,2,1,8,62.5
Hong Kong,53,26,8,87,60.91954023
Malaysia,77,31,12,120,64.16666667
Ukraine,394,280,49,723,54.49515906
South Africa,208,182,43,433,48.0369515
Korea South,101,63,8,172,58.72093023
Malta,19,7,5,31,61.29032258
Egypt,34,58,10,102,33.33333333
Azerbaijan,14,8,3,25,56
Nigeria,15,24,8,47,31.91489362
Latvia,34,23,8,65,52.30769231
Guatemala,9,5,4,18,50
Rwanda,1,0,0,1,100
Gabon,0,1,0,1,0
Armenia,19,7,2,28,67.85714286
Monaco,0,1,0,1,0
undefined ',0,0,1,1,0
Thailand,39,14,9,62,62.90322581
Vatican City,0,0,1,1,0
Romania,467,258,85,810,57.65432099
Bahamas,4,1,1,6,66.66666667
Andorra,7,1,0,8,87.5
United States,6282,4038,1988,12308,51.039974
Croatia,92,29,15,136,67.64705882
Czech Republic,161,114,45,320,50.3125